"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TXLNGY",26079.2808830255,10.7208477320698,0.258881634974845,41.4121601677598,0,0
"PRKY",5793.9536603101,6.56282903732144,0.17333710208769,37.8616519964743,0,0
"TTTY15",20141.6231031478,10.4624092436057,0.271709136697403,38.5059161821911,0,0
"ZFY",2753.25307313959,10.2132595370642,0.259050979607146,39.4256742535878,0,0
"KDM5D",38920.593305261,10.7747417335901,0.28690564488037,37.5550008368876,0,0
"USP9Y",20141.6231031478,10.4624092436057,0.271709136697403,38.5059161821911,0,0
"DDX3Y",48811.3638908586,10.2808689500485,0.221821397503326,46.3475077957455,0,0
"EIF1AY",2295.72708383229,13.1429457577466,0.337811610746395,38.9061398117941,0,0
"TMSB4Y",195.954279136255,10.1506275297587,0.316188943737264,32.1030438628913,3.9980559149113e-226,1.05855193773801e-222
"RPS4Y1",23825.4968270815,10.6568420817218,0.360354296157807,29.5732344399605,3.30170502950248e-192,7.86763291480145e-189
"LINC00278",77.8222876867394,9.48876400256747,0.370611813825745,25.6029722976637,1.41359852842802e-144,3.06223993944649e-141
"RBMY2SP",233.861638755744,9.74299913282567,0.384630051812958,25.33083176133,1.4617190068671e-141,2.90260851788634e-138
"TSIX",46827.0480778842,-7.59315319227289,0.393318623113475,-19.3053487581294,4.84272921951619e-83,8.87672265937317e-80
"ERCC6L",836.131009714329,-2.26125119453802,0.120335368119279,-18.7912434214405,8.9067832522897e-79,1.51599812942008e-75
"XIST",166636.574750331,-7.68681249709116,0.412401290099569,-18.6391572519943,1.54658106175789e-77,2.45689867470858e-74
"TTTY10",40.8849848208933,8.55998945206508,0.465915556611811,18.3724053223598,2.18509912048295e-75,3.25429543387426e-72
"TOMM22P1",8.81854083910244,6.1504807611287,0.408866540044353,15.0427588436596,3.85157986276054e-51,5.39878214998359e-48
"HSFY3P",5.9773225366096,5.68977772668048,0.383097376089977,14.8520404518358,6.74829630443669e-50,8.93361959102344e-47
"ZFX",17264.5742719197,-0.808510938618422,0.0557295271626221,-14.5077659865862,1.08186993798707e-47,1.35683572380494e-44
"DPPA2P1",3.70269261122977,5.09157937570651,0.386296032301318,13.1805117059421,1.13617560006801e-39,1.35369641870103e-36
"ANOS1",6.60836939081357,4.53518011663495,0.344329191929425,13.1710590415596,1.28778482609312e-39,1.46126783909396e-36
"ZRSR2",8419.71217965354,-0.750657573692748,0.0605428935851826,-12.3987726591989,2.65356838949663e-35,2.87417641605979e-32
"DIPK2B",45.6032920302569,-4.1748737157221,0.340991078600915,-12.2433517406132,1.82343930572455e-34,1.88916240070045e-31
"UBA1",43513.0239524083,-0.43416468269632,0.036437111528169,-11.915452803131,9.83305259050265e-33,9.76299209079531e-30
"BCORP1",28.4407344181111,7.74516212226974,0.684227586518541,11.3195700887746,1.04985499723966e-29,1.00067978916895e-26
"KDM6A",21660.8901343556,-0.842281458448758,0.074707954413587,-11.2743209884431,1.75729143701881e-29,1.61055760202774e-26
"CA5BP1",1840.07206080505,-0.625540415425321,0.0557830663248073,-11.2138047733518,3.48867466007395e-29,3.07894920277416e-26
