"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",1180.55414384349,-0.00310115462933726,0.00511816356918519,-0.60591159063542,0.544573462349568,0.955294738991302
"ADA",948.684405197053,-0.00931186264020472,0.00770970028608635,-1.20781123709955,0.227119878136755,0.866968606293563
"CDH2",1.7923034317046,0.106483802459502,0.114590704305759,0.929253407635702,NA,NA
"AKT3",8049.57047114267,0.0037845370048705,0.00643487610714204,0.58812896190341,0.556445734732939,0.958731632237192
"POU5F1P6",19.4329640777959,-0.00706568458650777,0.0200203687153018,-0.352924798088627,0.724144819384088,0.982261089310152
"ZBTB11-AS1",1525.55583492951,-0.00644819377070091,0.00479150471706494,-1.3457554884034,0.178381384768829,0.837720933318697
"MED6",8683.22829470624,-0.00282823976464492,0.00567863755830582,-0.498049001297541,0.618449504839166,0.963788187701269
"NAALAD2",42.1867571370075,-0.0246650451419051,0.134126442167597,-0.183893979019328,NA,NA
"VN2R10P",1.18544484479852,0.00798312330420486,0.0229316708620153,0.348126543078391,0.727745151138918,NA
"DDTL",2907.5784532689,-0.00092199583935489,0.00318223442817184,-0.289732218089465,0.772021106519501,0.987779147950902
"NAALADL1",2000.52631430511,-0.000487236029571534,0.00761933607358441,-0.0639473078580612,0.949012183112232,0.996812034161619
"MCCD1P1",0.848113756161069,-0.0217439144123595,0.031733256966056,-0.685209035921468,0.493212022740574,NA
"ZDHHC20P1",5.052433720948,0.0009467840299166,0.0126592471652465,0.0747899158265752,0.940381865351166,0.99646051159646
"TMEM183AP1",4.6642435454126,-0.01865443926,0.0139546495793966,-1.33679023280831,0.181291118270777,0.838531868355191
"CDKN2B-AS1",208.667439847348,-0.00160821924219616,0.0054030923480494,-0.297647928001222,0.765971890297718,0.987296713735977
"SIGLEC14",897.724843678786,0.0109095271273948,0.00950354085016907,1.14794341386987,0.250991924483737,0.876776032672111
"NINJ2-AS1",2103.37526011051,0.00557472635739471,0.00487983747708663,1.14240000483027,0.253287789270084,0.87682208423903
"JKAMPP1",0.0610883775839884,0.0153275497883149,0.134138595686867,0.114266514494423,0.909026526161887,NA
"ACOT8",4191.26944841837,0.00192101746507192,0.00231437665884635,0.830036657053693,0.406518058477814,0.922465090132595
"ABI1",34054.26438697,-0.000288310905242603,0.00234343988580675,-0.123028931524458,0.902084187951461,0.994733543286514
"GNPDA1",1746.60083697919,0.00623595598447093,0.00478427635402522,1.30342721093533,0.1924289516699,0.848745088457954
"KCNE3",50.3527100571837,0.0227055977068696,0.0188028218245736,1.20756330718379,0.227215280226509,0.867151023362361
"ZBTB33",13788.9496664254,-0.000734555591844288,0.00317155459156816,-0.231607424887834,0.816842940083691,0.991434068048719
"CDH12P3",55.3027347527744,0.00275268278879171,0.00409251656640755,0.672613719242202,0.501193071349302,0.947507200168832
"CDH12P1",54.7204040773673,0.00265232502936425,0.00406456505868035,0.652548302480704,0.514047523374189,0.948274700720084
"CDH12P4",48.0830678657027,0.00284189508758645,0.00414606600557851,0.685443763741989,0.493063935858682,0.945855420302389
"SNHG8",8600.60940744294,-0.00455337224394026,0.00407996716305322,-1.11603159093388,0.26440861240061,0.880614709613559
"GTF2IP4",11142.8740591657,0.00128602312733511,0.00252893938669923,0.508522716716285,0.611086812066813,0.96262421624509
"GS1-600G8.3",3.67397959765556,0.0237560630523679,0.0304936005348342,0.779050772480288,0.435949806844739,0.930884966849149
"CDH3",41.498265072296,-0.00189841765378071,0.0287418119768983,-0.0660507296932635,0.947337437146506,0.996812034161619
"TANK",20297.2834831901,-0.00437151659884066,0.00251441275334882,-1.7385835293026,0.0821080457553682,0.728387367895417
"HAVCR1P1",23.6243011682849,0.0151530911893439,0.00714390795463235,2.12112072069995,0.033911644646197,0.590868716251823
"SPDYE12",37.1503910604637,0.0169506347611954,0.00837551714375113,2.0238314208266,0.042987500085717,0.623616419585407
"ZSCAN30",10592.505187299,0.00422583131299725,0.00396600206933867,1.06551414727373,0.286643326999158,0.886101349484092
"MCTS2P",211.351104107717,0.0017196267591019,0.00456447416839446,0.376741481200402,0.70636573281111,0.980148903057135
"SRA1",7500.14586788979,-0.000930424056564374,0.00336442570617848,-0.276547660082293,0.782127458845375,0.988390748318524
"SNORD125",0.230507564413166,0.000573001040591452,0.134131453120175,0.00427193642700694,0.996591498247371,NA
"SNORD12B",5.48709106238102,0.00746149014628044,0.0287316651162113,0.259695709110519,0.795098502749046,0.989363932619021
